time,open,high,low,close,Duong_V3_22R8_Chart
1743033600,451.75,452.75,447.25,450,
1743120000,450.25,454,442,453.25,
1743379200,453,459.25,444,457.25,
1743465600,457.75,465,454,461.75,
1743552000,460.25,460.75,454,457.75,
1743638400,450,462.25,447.5,457.5,
1743724800,457.75,462.5,449.25,460.25,
1743984000,456,467.5,454.25,464.5,
1744070400,464.5,469.75,462.75,469,
1744156800,468,475.5,465.75,474,
1744243200,473.25,484,473,483,
1744329600,482,490.75,481.75,490.25,
1744588800,489,490.25,484.25,485,
1744675200,485,488.75,479,481.25,
1744761600,481.25,487,479.25,484.25,
1744848000,483.25,486.5,481.5,482.25,
1745193600,483.25,487.25,481.25,481.75,
1745280000,481.75,483,475,475.75,
1745366400,476.25,477,470.25,472,
1745452800,472.25,478.5,472.25,477.25,
1745539200,477,480.75,476.75,478.75,
1745798400,477,478.75,469.5,475.5,
1745884800,475.5,477.25,460.25,460.5,
1745971200,470.75,478.5,468.5,475.5,
1746057600,475,480,470,472.25,
1746144000,472.25,477,468.25,469,
1746403200,469,470.75,453.25,454.25,
1746489600,454.75,457.25,452.5,455.5,
1746576000,457,463.5,448.5,449.25,
1746662400,450,452,442.25,447.5,
1746748800,449,455,447,449.75,
1747008000,453,458.75,445.75,448,
1747094400,448,448,436.5,442.5,
1747180800,443,447.75,438.5,445.5,
1747267200,444.75,450.5,443.5,448.5,
1747353600,449,451.5,442.75,443.5,
1747612800,443.5,449.75,443,447.5,
1747699200,446.75,455.5,444.75,454.5,
1747785600,454.5,462,453.5,461,
1747872000,459.25,464.75,456.5,463,
1747958400,462.75,464.5,455,459.5,
1748304000,459,463,456,459.5,
1748390400,459.5,463,450,451,
1748476800,452.25,453,443.5,447,
1748563200,447,449.5,443,444,
1748822400,444,451,437.75,438.25,
1748908800,438.25,442.5,434.25,438.5,
1748995200,438.5,446,437.5,438.75,
1749081600,438.5,442.75,433.25,439.5,
1749168000,438.25,445,435,442.5,
1749427200,442.25,445.75,432.75,433.5,
1749513600,433.5,439.5,429.25,438.75,
1749600000,439,444.75,436,437,
1749686400,436.5,441.75,435.25,438.5,
1749772800,438.25,445.25,435,444.5,
1750032000,444,446.5,431.25,434.75,
1750118400,434.75,437.5,429.5,431.5,
1750204800,431.5,434.5,430,433.5,
1750377600,433,435,428.25,428.75,
1750636800,430,430.75,417.25,419.25,
1750723200,419,422.5,415,416.25,
1750809600,415.5,417.5,408,410.25,
1750896000,410,414.5,408,409.5,
1750982400,404.25,412.25,404.25,411.5,
1751241600,411,413.75,405.5,409.25,
1751328000,408.25,408.75,400.25,406,
1751414400,405.75,418.75,402,418,
1751500800,417.25,426.25,417.25,420.25,
1751846400,412.25,413,402.5,403.5,
1751932800,403.5,403.75,396.75,398,
1752019200,398,401,396.25,399.25,
1752105600,399,400.5,396.25,399.25,
1752192000,398.5,401.5,394.5,396,
1752451200,394.5,401,391.25,400,
1752537600,399.5,406.25,395,401.25,
1752624000,400,407.25,400,405.25,
1752710400,405,407,400.25,402,
1752796800,403,411,402.5,408.5,
1753056000,406.5,408.75,400.25,403.75,
1753142400,404.5,406,398.5,399.25,
1753228800,399.25,401.75,397.25,398.5,
1753315200,398.25,404.25,398.25,401.75,
1753401600,401.5,403,398.25,399.5,
1753660800,399,400,392,393.75,
1753747200,392,394.25,387.75,389.25,
1753833600,389,393.5,388.25,391.75,
1753920000,391.25,394.75,388,394,
1754006400,394,396.25,388.75,389.5,
1754265600,389.5,392.5,386.5,387,
1754352000,386.25,386.75,380.5,381.5,
1754438400,381,381.25,375,379.75,
1754524800,379.75,386,379.75,384.5,
1754611200,384,389.25,382,382.75,
1754870400,382.5,387,380.5,385,
1754956800,384.5,384.75,368.75,371.5,
1755043200,371.5,376,370.75,374,
1755129600,373.25,376.75,369.5,375,
1755216000,375.5,384.25,374.5,383.75,
1755475200,383,384.75,379.25,383,
1755561600,383,383,377.75,379.5,
1755648000,379.5,382.25,378.25,380,
1755734400,379.75,389.5,379.25,387.25,
1755820800,387.25,389.25,385.5,388.25,
1756080000,389.25,394,388.25,389.25,
1756166400,389,392,386.75,387.5,
1756252800,387,387.5,381.75,382.5,
1756339200,406,411,403.5,410,
1756425600,410,420.5,409.75,420.25,
1756771200,418,423.5,414,423,
1756857600,423,424.25,416.25,418,
1756944000,418,421,414.25,419.75,
1757030400,420,424.75,417.25,418,
1757289600,417,422.25,415,421.75,
1757376000,420.75,422.5,419,419.75,
1757462400,419.25,420,416.75,417,
1757548800,417,421.25,416.5,419.75,
1757635200,419.75,430.25,417,430,
1757894400,426.25,428.5,422,423.25,
1757980800,423,431.25,423,429.5,
1758067200,428.75,431.25,425.5,426.75,
1758153600,426.5,428,423.5,423.75,
1758240000,424,429.75,422.25,424,
1758499200,424,424.75,418.25,421.75,
1758585600,421.75,426.5,418.75,426.25,
1758672000,425,427.5,423.5,424.25,
1758758400,423.75,428.25,423.5,425.75,
1758844800,425.25,425.75,421.25,422,
1759104000,421,422.75,418.75,421.5,
1759190400,421.25,421.5,414,415.5,
1759276800,415.75,419.5,410.5,416.5,
1759363200,417.25,422.5,414.75,421.75,
1759449600,420.75,423,418.5,419,
1759708800,419,422.5,417.25,421.75,
1759795200,421.5,424.5,419,419.75,
1759881600,419.25,422.75,418.5,422,
1759968000,422,423.25,418,418.25,
1760054400,418.25,419.25,412.25,413,
1760313600,413,415,410.5,410.75,
1760400000,410.75,413.5,409.25,413,
1760486400,412.75,418.5,411.25,416.75,
1760572800,416.75,423.5,416.25,421.75,
1760659200,421.25,424.75,421,422.5,
1760918400,422.5,424,419.5,423.25,
1761004800,423.25,424.5,418.5,419.75,
1761091200,419.75,424,418.5,423,
1761177600,423,428.5,421,428,
1761264000,427.25,427.5,423,423.25,
1761523200,427,431.75,426,428.75,
1761609600,428,436.25,427.25,432,
1761696000,431.25,435,430,434,
1761782400,434,437,427.75,430.25,
1761868800,429.25,432.25,426.5,431.5,
1762131600,431,435,427.75,434.25,
1762218000,434,434.5,429.25,431.5,
1762304400,430.5,436,428.75,435.25,
1762390800,434.5,434.75,428.25,428.75,
1762477200,428.5,430.5,426.75,427.25,
1762736400,426.75,431.25,426.25,429.75,
1762822800,429,432.75,428.5,432,
1762909200,431.5,436,431,435.25,
1762995600,434.75,442.75,434,441.5,
1763082000,441.5,442.75,429.5,430.25,
1763341200,429.75,437.25,428.5,434.75,
1763427600,434.75,438.5,433.25,436.75,
1763514000,435.5,436.25,428.25,429.75,
1763600400,429.75,431.25,425.75,426.5,
1763686800,426.25,427.75,424,425.5,
1763946000,426,426.5,422.25,423.75,
1764032400,423.75,426,422.25,423.5,
1764118800,423,433.5,423,431.75,
1764340200,445.25,448.5,443.5,447.75,
1764550800,447.25,449,444,445,
1764637200,445,452.25,442.25,450,
1764723600,449.25,450,442.75,443.5,
1764810000,443,448,441.75,447.25,
1764896400,446.25,448,444,444.75,
1765155600,444.75,447.25,442.5,443.75,
1765242000,443.75,449,443.5,448,
1765328400,447.5,448.75,443.5,444.25,
1765414800,444,448,443.5,446.5,
1765501200,446.5,447.25,440,440.75,
1765760400,440.25,441.25,436.75,439.75,
1765846800,439.75,440,435.5,436.5,
1765933200,436,441.5,436,440.5,
1766019600,440.5,446,440.5,444.5,
1766106000,444,444.75,442.5,443.75,
1766365200,443.25,447.75,443,447,
1766451600,446.5,449,446.25,447.5,
1766538000,447,451.25,446.75,451,
1766759400,451,453,448.75,450,
1766970000,450,451,442,442.25,
1767056400,442,443,439.75,440.5,
1767142800,440.5,442.5,439,440.25,
1767364200,440.75,440.75,437,437.5,
1767574800,437.25,445.5,436.25,444.5,
1767661200,444,447,443.5,444,
1767747600,443.75,447.25,443.75,446.75,
1767834000,446,448,445.5,446,
1767920400,445.25,447.5,443.75,445.75,
1768179600,445,448.75,420,421.5,
1768266000,421.75,422.75,417.25,419.75,
1768352400,420,425,419.5,422,
1768438800,422.5,425,420,420.25,
1768525200,420.25,427.25,420,424.75,
1768870800,423.5,425.5,422,423.75,
1768957200,423.75,427.75,421.25,421.75,
1769043600,422.5,424.25,421,424,
1769130000,423.75,431.25,422.5,430.5,
1769389200,430,431.5,427.25,428.25,
1769475600,428.25,429.75,426,426.5,
1769562000,427,433.25,426.75,430,
1769648400,430,434,428,430.75,
1769734800,430.75,431.75,425.25,428.25,
1769994000,428.25,428.25,424,425.75,
1770080400,425.75,429.25,425.5,428.5,
1770166800,428.5,432.75,425.25,429.5,
1770253200,429,435.75,427,435,
1770339600,434.5,436,428.75,430.25,
1770598800,428.75,430,427.25,428.75,
1770685200,428,431,427.75,428.75,
1770771600,428.75,429.5,425.25,427.5,
1770858000,428,431.5,427,431.25,
1770944400,431,432.75,429.5,431.75,
1771290000,431,431.25,426,426.25,
1771376400,426.25,428.5,425.25,427,
1771462800,426.75,427.75,424,425.75,
1771549200,425.75,428.75,424,427.5,
1771808400,427.25,431.5,425.25,427.5,
1771894800,427.5,429,426,427.75,
1771981200,428,431.25,426.75,430.5,
1772067600,430,433.75,428,433.25,
1772154000,443,450,442,448.5,
1772413200,451,452.5,443.5,445.75,
1772499600,445.75,451.75,444.25,446.5,
1772586000,446,447,440.25,443.75,
1772672400,442.5,454.5,442.5,453.5,
1772758800,452.75,462,452.25,460.5,
1773014400,464,476,453,453.75,
1773100800,450,454,445.5,452.25,
1773187200,453.25,462,451.5,460.25,
1773273600,462.5,469.5,461,462.5,
1773360000,462.25,467.5,458.5,467.25,
1773619200,464.75,466,452,454,
1773705600,453.75,459,449.25,454,
1773792000,454.75,464.5,451.5,463.25,
1773878400,463.25,470,463.25,469.75,
1773964800,469,469.25,464,465.5,
1774224000,465.25,473.75,456.5,459.5,
1774310400,460,465.75,459,462.5,
1774396800,461.25,468.5,458,467.25,
1774483200,466.75,468.75,462,467,
1774569600,466,470.5,460.75,462,
1774828800,462.75,465.75,455,455.75,
1774915200,455.5,462,451.25,457.75,
1775001600,457.5,460,448.5,454.25,
1775088000,454,460.5,451.25,452.25,
1775433600,453,454.5,448.25,454,
1775520000,454,455,448.25,449,
1775606400,447,448.25,442.25,447.25,
1775692800,447.25,450.25,442.25,444,
1775779200,444.75,446.25,438,441,
1776038400,446,446,440,440.25,
1776124800,440.5,446,440.25,443,
1776211200,443,452,442.75,451.25,
1776297600,451,452.75,447.5,448.5,
1776384000,448.25,451,443.25,448.75,
1776643200,449,454,446.75,452,
1776729600,452,455.25,450.75,453.75,
1776816000,453.5,457,452.75,454.25,
1776902400,453.5,456.75,452.5,455.5,
1776988800,455.5,457.75,453.5,455,
1777248000,454.25,461.25,454.25,460.75,
1777334400,460.25,465.5,460,465.25,
1777420800,464.25,468.25,462.75,466.5,
1777507200,477,480,471.25,474.75,
1777593600,473.75,483.5,472.75,480.25,
1777852800,479,486.25,477.25,485.75,
1777939200,485,487.5,477.25,480,
1778025600,478.25,479.5,467.5,468.5,
1778112000,468.25,469.75,461,467.5,
1778198400,466.75,473,465.25,471.25,
1778457600,471,476.25,470.75,475.25,
1778544000,475,481.75,472.75,480,
1778630400,478.25,484.5,477.5,480.75,
1778716800,479.25,483.5,465.25,467.5,
1778803200,468.25,473.75,455,455.75,
1779062400,469,478,464,477,
1779148800,476.75,481.75,472,475.25,
1779235200,475.75,477,462.75,465.75,
1779321600,465,469.25,460,462.25,
1779408000,462.5,467.75,461,463.25,
1779753600,458.25,463,456.5,457.5,
1779840000,458.5,459.75,451.75,452.5,
1779926400,452.25,458.25,451.5,455.75,
1780012800,457.75,459,445,446.75,
1780272000,446,449.25,440,444,
1780358400,444.75,445.75,439,440.5,
1780444800,440.75,442,430.25,431.5,
1780531200,431,431.5,421.5,424.5,
1780617600,424,424.5,416,417.5,
