time,open,high,low,close,Duong_V3_22R8_Chart
1778731200,481.75,482.25,481.75,482.25,
1778734800,482.5,482.75,482.25,482.75,
1778738400,482.75,483.5,477.5,478,
1778742000,478.25,479.25,478,478.5,
1778745600,478.5,481.5,478.25,479,
1778749200,479,479.75,478,478.5,
1778752800,478.5,479.25,474.25,478,
1778756400,478,478.75,475.5,476,
1778760000,475.75,476,472.5,472.75,
1778763600,473,473.25,469.25,470,
1778767200,470,470,467.25,467.25,
1778770800,467.25,469.25,465.75,468.25,
1778774400,468.5,468.5,465.5,465.5,
1778778000,465.75,468,465.25,467.5,
1778781600,467.75,468.5,467.25,467.75,
1778803200,468.25,470.75,468.25,470,
1778806800,470.25,473.75,469.5,472.25,
1778810400,472.25,472.5,470,470.5,
1778814000,470.25,471.5,469.25,471.25,
1778817600,471.25,471.5,470.5,470.75,
1778821200,470.75,471.5,469.5,469.75,
1778824800,469.5,469.75,468,468,
1778828400,468,468.75,467.75,468.5,
1778832000,468.25,470.25,467.75,469.75,
1778835600,469.5,469.75,466.5,466.5,
1778839200,466.75,468,465,465.5,
1778842800,465.25,465.5,462.75,463.75,
1778846400,464,464,461.75,461.75,
1778850000,462.25,463.25,459.25,459.75,
1778853600,459.75,460.5,456.5,457.75,
1778857200,457.75,458.25,455.75,456.5,
1778860800,456.5,457,455.5,456.25,
1778864400,456.25,457.75,456,456.75,
1778868000,456.5,456.75,455,455.25,
1779062400,469,473.25,464,466,
1779066000,466,467.25,464.25,465,
1779069600,465,466,464.75,466,
1779073200,466,468,466,467.5,
1779076800,467.5,468.75,467.25,468.25,
1779080400,468.25,468.25,466.75,467.5,
1779084000,467.5,467.75,466.75,467.25,
1779087600,467,469.75,465.75,469.25,
1779091200,469,470.25,468.75,469.75,
1779094800,469.5,470.5,469.25,469.5,
1779098400,469.5,470.5,468.75,470.25,
1779102000,470.5,471.5,468.25,470,
1779105600,470.25,472.25,468.75,469.5,
1779109200,469,472.25,468.75,471.25,
1779112800,471.25,475,471,474.5,
1779116400,474.25,476.25,474,476.25,
1779120000,476,477.25,475.5,476,
1779123600,476,476.75,474.75,476,
1779127200,476,478,476,477.25,
1779148800,476.75,477.5,475,476,
1779152400,476,479.5,476,479,
1779156000,478.75,479,478.25,478.75,
1779159600,478.75,479,478.5,478.75,
1779163200,478.5,479,478.25,478.5,
1779166800,478.5,479.5,478.5,479.25,
1779170400,479.25,481.75,479,481,
1779174000,481,481.75,479.75,480.25,
1779177600,480,480.5,476.75,478.25,
