time,open,high,low,close,Duong_V3_22R8_Chart
1743033600,1001,1017.75,999.75,1016.75,
1743120000,1015,1023.5,1009,1023,
1743379200,1023,1031.5,1013.25,1014.75,
1743465600,1014.75,1034.75,1010.5,1034.25,
1743552000,1032,1033,1024.5,1029.5,
1743638400,1011,1020.25,1005.25,1011.5,
1743724800,1011,1012.75,970.25,977,
1743984000,971.75,993.5,969.5,983,
1744070400,983.25,1002.25,982.5,992.75,
1744156800,989,1015.5,987.5,1012.75,
1744243200,1015.25,1029.5,1010.75,1029,
1744329600,1026.5,1044.5,1021.75,1042.75,
1744588800,1040.75,1049.5,1036.75,1041.75,
1744675200,1040.5,1041.25,1030.75,1036,
1744761600,1046,1057.25,1037.5,1050.25,
1744848000,1049.25,1056.5,1043,1047.75,
1745193600,1050.25,1054.75,1040.75,1041.5,
1745280000,1042,1051.5,1041,1046,
1745366400,1048,1057.5,1045.25,1050.25,
1745452800,1049.75,1063.5,1048,1062,
1745539200,1062,1067.5,1056.5,1059.25,
1745798400,1058.5,1064,1051.5,1062.5,
1745884800,1062,1063.25,1045.75,1052.75,
1745971200,1052.5,1054.5,1038.5,1044.5,
1746057600,1044,1054.5,1036.75,1050.25,
1746144000,1050.25,1062,1050,1058,
1746403200,1052.75,1057,1044.25,1045.5,
1746489600,1045.25,1046.75,1036.5,1041.25,
1746576000,1045,1056,1038.25,1039.25,
1746662400,1039,1048,1036.5,1045,
1746748800,1044.5,1058.25,1040.5,1051.75,
1747008000,1064,1074.75,1052.5,1071.25,
1747094400,1069.5,1076.25,1053.25,1072.5,
1747180800,1073.5,1082,1071.5,1077.75,
1747267200,1073,1073.25,1046,1051.25,
1747353600,1052.5,1059.75,1047.25,1050,
1747612800,1050.25,1056,1045.75,1050.75,
1747699200,1050.75,1056.75,1046.25,1053,
1747785600,1052.75,1067.5,1052.75,1062.75,
1747872000,1057,1070.75,1051,1067.5,
1747958400,1071,1073.25,1055.5,1060.25,
1748304000,1061.25,1067.75,1059,1062.5,
1748390400,1061.75,1064.25,1047.5,1048.5,
1748476800,1055.5,1055.75,1040,1051.75,
1748563200,1049,1050.5,1040.25,1041.75,
1748822400,1042.25,1042.75,1032.5,1033.5,
1748908800,1034.5,1044,1032.75,1040.75,
1748995200,1040.5,1053,1037.75,1045,
1749081600,1044.75,1056.75,1040,1051.75,
1749168000,1050.75,1060.5,1047,1057.25,
1749427200,1057.5,1061.75,1053.5,1056,
1749513600,1057.25,1063.75,1055.75,1057.75,
1749600000,1057.75,1062.75,1049.25,1050.5,
1749686400,1049,1056.25,1038.5,1042.25,
1749772800,1042.25,1071,1040.75,1069.75,
1750032000,1054.75,1065,1052.25,1060.5,
1750118400,1060.5,1068.75,1056,1067.75,
1750204800,1064.5,1071.75,1063.75,1068.25,
1750377600,1068.5,1074.25,1059.5,1060.75,
1750636800,1065.75,1067.75,1044,1046.75,
1750723200,1040.75,1049.75,1036.5,1037,
1750809600,1037,1041.75,1017,1018.5,
1750896000,1021.5,1023,1014.25,1016.5,
1750982400,1017.5,1032,1013.25,1024.75,
1751241600,1026.5,1038.25,1018.5,1027,
1751328000,1023.25,1029.25,1014,1027.25,
1751414400,1027,1048.5,1024.75,1048,
1751500800,1046.5,1058.5,1044.25,1049.25,
1751846400,1039.5,1039.5,1017.5,1020.75,
1751932800,1020.75,1024,1014,1017.5,
1752019200,1017,1021,1007,1007.25,
1752105600,1005,1015,1002.25,1013.75,
1752192000,1013.5,1017,1003.5,1007.25,
1752451200,1003,1014.5,998.25,1007,
1752537600,1003,1010,1000,1001.75,
1752624000,1002.5,1021.75,1002.5,1020.5,
1752710400,1019.25,1029,1016,1026.5,
1752796800,1026.25,1043.25,1026,1035.75,
1753056000,1031.25,1034.25,1020.5,1026,
1753142400,1027.5,1030,1020.25,1025.5,
1753228800,1025.5,1035.5,1021.75,1022.75,
1753315200,1023.75,1028.75,1019.25,1024.25,
