time,open,high,low,close,Duong_V3_22R8_Chart
1778731200,1224.25,1226.25,1223.75,1225.5,
1778734800,1225.5,1227.25,1224.75,1226,
1778738400,1226,1226.5,1215,1217,
1778742000,1217,1220.75,1216.25,1219.75,
1778745600,1219.75,1226.25,1218.75,1220,
1778749200,1219.75,1222,1218,1218,
1778752800,1218.25,1221,1206,1212.25,
1778756400,1212.25,1213.25,1204.75,1206.5,
1778760000,1206.5,1206.75,1196.25,1198.5,
1778763600,1198.5,1200.75,1193.75,1198.25,
1778767200,1198.25,1199.75,1192,1192.25,
1778770800,1192.25,1194.5,1181.5,1188.25,
1778774400,1188.5,1188.5,1184,1184.5,
1778778000,1184.5,1192,1183.75,1191.25,
1778781600,1191,1194.25,1191,1193.5,
1778803200,1193.75,1201,1192.75,1197,
1778806800,1197,1202,1194.75,1199.5,
1778810400,1199.75,1199.75,1196.25,1197.25,
1778814000,1197.25,1197.25,1195.75,1196,
1778817600,1195.75,1196.5,1195,1195.25,
1778821200,1195,1197,1194,1194.25,
1778824800,1194.25,1194.5,1191,1191.75,
1778828400,1191.5,1191.75,1190.25,1191.5,
1778832000,1191.25,1193,1189.25,1191.25,
1778835600,1191.25,1191.75,1187,1187.25,
1778839200,1187.25,1192.75,1186,1189,
1778842800,1188.75,1190.25,1183.5,1185.25,
1778846400,1185.25,1185.5,1179.25,1180.25,
1778850000,1184.75,1190,1182,1185.25,
1778853600,1185.25,1185.25,1178,1178.75,
1778857200,1178.5,1178.75,1172.75,1176,
1778860800,1175.75,1176.75,1172.25,1176,
1778864400,1176,1178.75,1175,1177.75,
1778868000,1177.75,1178,1175.75,1177.25,
1779062400,1202.25,1209.5,1191,1192.75,
1779066000,1192.5,1196.25,1191.5,1193.75,
1779069600,1194,1195.25,1193.75,1194.5,
1779073200,1194.75,1198,1194.75,1197.75,
1779076800,1197.5,1198.5,1197,1198.25,
1779080400,1198.25,1198.25,1196.5,1197,
1779084000,1197,1199,1195.75,1198.75,
1779087600,1198.75,1199.5,1197,1198.5,
1779091200,1198.25,1201.25,1197.75,1201.25,
1779094800,1201.25,1203.25,1200.5,1200.5,
1779098400,1200.5,1202.75,1200,1200.75,
1779102000,1200.75,1204.25,1197.25,1199.75,
1779105600,1199.75,1205,1199.75,1202.5,
1779109200,1202.75,1207.75,1200.75,1207.25,
1779112800,1207,1217.75,1206.75,1214.75,
1779116400,1214.5,1217,1212.25,1214.75,
1779120000,1215,1218.5,1214.75,1216.5,
1779123600,1216.25,1216.75,1213.5,1214,
1779127200,1214.25,1215,1211.75,1212,
1779148800,1213,1214.75,1211.5,1212,
1779152400,1212,1216,1212,1214.5,
1779156000,1214.5,1215.25,1213.5,1215,
1779159600,1215,1215.5,1214.5,1215,
1779163200,1215,1215.25,1214.25,1214.25,
1779166800,1214.5,1217.25,1214.5,1217,
1779170400,1217.25,1220.75,1216.25,1220,
1779174000,1220.25,1220.5,1218,1219,
1779177600,1218.75,1220.25,1211.5,1214,
1779181200,1214,1215.75,1212.75,1213.75,
1779184800,1213.75,1214.5,1212,1213.5,
1779188400,1213.5,1218.25,1213.5,1216.5,
1779192000,1216.5,1216.5,1213,1213.75,
1779195600,1214.5,1219,1213,1215.75,
1779199200,1215.75,1216.75,1209.25,1210.75,
1779202800,1210.75,1214.5,1210.75,1213,
1779206400,1213,1214,1210.25,1213.75,
1779210000,1214,1214.5,1208,1209.5,
1779213600,1209,1210.75,1208.5,1210.25,
1779235200,1210,1212,1205.75,1206,
1779238800,1206.25,1209.5,1202.25,1202.75,
1779242400,1202.75,1205.75,1202.75,1204.5,
1779246000,1204.5,1205.75,1204.25,1204.75,
1779249600,1204.75,1208,1204.25,1207.25,
1779253200,1207.25,1211,1207.25,1210.25,
1779256800,1210.25,1211.5,1206.5,1206.5,
1779260400,1206.75,1208,1204.5,1206.25,
1779264000,1206.25,1206.25,1201.25,1202.5,
1779267600,1202.5,1207.5,1201.75,1207.5,
1779271200,1207.25,1208,1204.75,1206.25,
1779274800,1206.25,1208,1205.25,1206.25,
1779278400,1206,1206.25,1202.5,1203,
1779282000,1203,1204,1201.25,1202.75,
1779285600,1202.75,1204.5,1197.25,1201,
1779289200,1200.75,1202.75,1199,1199.5,
1779292800,1199.5,1201.5,1197.75,1199,
1779296400,1199.25,1199.75,1196,1197.25,
1779300000,1197.5,1200.5,1197,1199.25,
1779321600,1199,1200.75,1197.75,1199,
1779325200,1198.75,1200.75,1198,1199,
1779328800,1199.25,1199.5,1195.75,1196.5,
1779332400,1196.5,1197.5,1196,1196.5,
1779336000,1196.5,1197.5,1196.25,1196.75,
1779339600,1196.75,1196.75,1195.5,1196,
1779343200,1196,1197,1195.25,1196.25,
1779346800,1196.5,1198.25,1196.5,1197.5,
1779350400,1197.75,1198.75,1197,1197.25,
1779354000,1197.25,1197.25,1192.25,1192.25,
1779357600,1192.25,1201,1191,1200.5,
1779361200,1200.5,1201,1197,1197.5,
1779364800,1197.25,1202,1197.25,1199.75,
1779368400,1200,1201.75,1193.25,1194.5,
1779372000,1194.75,1199.25,1194.5,1198.75,
1779375600,1199,1204,1198.5,1202,
1779379200,1202,1202,1196.25,1197.75,
1779382800,1197.75,1198.5,1191.25,1191.75,
1779386400,1191.75,1194.75,1191,1193.5,
1779408000,1193.75,1194.5,1190.5,1193,
1779411600,1193,1195.5,1192.25,1194.5,
1779415200,1194.5,1195.25,1193.75,1194,
1779418800,1194.25,1195,1194,1194.5,
1779422400,1194.5,1195.5,1193.75,1195.5,
1779426000,1195.5,1195.5,1194.25,1194.75,
1779429600,1195,1196.25,1194,1195.75,
1779433200,1195.75,1199.25,1195.5,1198,
1779436800,1198,1199.75,1198,1199.25,
1779440400,1199,1200.25,1198.75,1199.5,
1779444000,1199.5,1200.75,1198.75,1199,
