time,open,high,low,close,Duong_V3_22R8_Chart
1778731200,684.25,685.75,684,684.5,
1778734800,684.5,686.75,684,685.25,
1778738400,685.25,688.25,676.5,678.25,
1778742000,678.5,681,677.75,678.75,
1778745600,678.75,682.25,677.25,678.25,
1778749200,678.25,681.25,677.25,678.5,
1778752800,678.25,679.5,671.75,677.75,
1778756400,677.75,681,675,675.5,
1778760000,675.25,675.25,665.75,666.75,
1778763600,667,667.75,661,661.75,
1778767200,661.75,661.75,650.5,650.75,
1778770800,651,655.75,650.25,654.5,
1778774400,654.5,657,653,656.25,
1778778000,656,658.5,655.5,657.25,
1778781600,657.5,659.25,657.25,658.25,
1778803200,658.25,663.5,657.75,659.5,
1778806800,659.5,662.25,658.75,662,
1778810400,662,662.25,657.25,658,
1778814000,657.75,658,654.75,657,
1778817600,657.25,657.5,655.25,655.25,
1778821200,655.5,658,655.5,656.25,
1778824800,656,656.25,652.25,653.5,
1778828400,653.5,654.25,651.75,654,
1778832000,654.25,658.5,653.5,657.5,
1778835600,657.5,659.25,655.25,655.5,
1778839200,655.5,658.75,652.25,653.25,
1778842800,653.25,653.25,648.75,650.5,
1778846400,650.5,651,647.25,648,
1778850000,647.75,648,639.5,640.75,
1778853600,640.75,642,635.5,636.25,
1778857200,636,636.75,632,634,
1778860800,633.75,634.5,631.5,633.5,
1778864400,633.75,636.5,633.5,635,
1778868000,635.25,636.5,634.25,635.5,
1779062400,647.5,655,646,651.75,
1779066000,651.25,653.75,650,650.75,
1779069600,650.75,652,650.25,651.5,
1779073200,651.75,653.75,651.5,653,
1779076800,653.25,655.5,652.75,655,
1779080400,654.75,655.25,651.25,652.5,
1779084000,653,654.75,652.5,654,
1779087600,653.75,657,651.5,656,
1779091200,655.75,656.75,654.5,656.75,
1779094800,656.5,657.25,653.75,653.75,
1779098400,653.75,657.25,653.75,657.25,
1779102000,657.25,659.75,653.25,657.5,
1779105600,657.75,662,657.25,657.75,
1779109200,657.75,665.5,652.75,653,
1779112800,652.75,660.5,652,657.75,
1779116400,657.75,663.5,657.5,662.75,
1779120000,663,664.75,661,663.5,
1779123600,663.5,666,661.75,663,
1779127200,663.25,665.75,662.5,664.75,
1779148800,666,670.5,664,665.75,
1779152400,666,673.25,666,670.25,
1779156000,670.5,671,668,669.75,
1779159600,669.75,670.75,669.75,670.5,
1779163200,670.75,671.5,669.5,670,
1779166800,670.25,673.75,669.75,673.25,
1779170400,673,679.5,672.75,678.5,
1779174000,678.75,679.25,672.75,673.75,
1779177600,673.5,675,666.75,668.5,
1779181200,668.5,672.5,668.25,669.75,
1779184800,669.75,672.25,668,671.75,
1779188400,672,673.25,668.5,669.25,
1779192000,669.75,670,665.5,665.5,
1779195600,665.75,671.5,663.25,667.5,
1779199200,667.75,669.25,663.5,665.75,
1779202800,665.5,670.25,665.25,668.75,
1779206400,668.75,669.5,667,669.5,
1779210000,669.5,670.25,661,662.5,
1779213600,662.5,668,662.5,668,
1779235200,668.25,671.25,664.25,664.75,
1779238800,665,666.5,661.75,662.75,
1779242400,662.25,663.5,661.25,662.25,
1779246000,662.25,663.5,661.5,661.5,
1779249600,661.5,666.25,660.5,665.5,
1779253200,665.75,666.5,664.75,666.25,
1779256800,666,667.5,662.5,663.25,
1779260400,663,666.25,662.25,665.75,
1779264000,665.75,666.5,661.5,663,
1779267600,663,669.25,661.75,669,
1779271200,669.25,671.75,665.75,668.25,
1779274800,668.25,672.75,667.5,669.25,
1779278400,669,669,663.75,664.75,
1779282000,665.5,672.5,664,668.5,
1779285600,668.75,670.25,657.25,659,
1779289200,659,660.25,655.5,659,
